"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"IL",17,"Mercer County",1172,29,15794,7830,7964,15134,88,43,354,10,0,55649,2888,2507,919,306,1019,216,44.8,1938,2565,3615,1938,2521,3773,511,7327,13660,306,56
"IL",17,"Pope County",247,2,4360,2322,2038,3944,213,45,84,7,0,41139,939,497,166,37,138,33,52.2,478,681,1248,386,470,1255,133,1330,2280,75,21
"IL",17,"Calhoun County",440,1,4897,2453,2444,4735,15,45,55,7,0,53641,864,677,262,78,184,60,46.5,579,795,1162,612,703,1239,83,2166,3905,120,46
"IL",17,"Pike County",1543,43,15930,7907,8023,15214,261,47,202,35,9,41387,3891,1820,612,306,1013,217,42.4,2078,2783,3267,1994,2571,3791,498,6950,12552,321,163
"IL",17,"Stark County",493,20,5551,2739,2812,5334,37,47,79,0,0,52284,1091,825,217,197,321,64,45,673,890,1267,705,851,1340,129,2583,4466,200,87
"IL",17,"Henderson County",453,7,6927,3404,3523,6670,10,49,107,22,2,47428,1590,988,344,97,449,54,49.2,759,990,1801,732,1043,1939,213,3331,6017,153,73
"IL",17,"Edgar County",1443,32,17603,8643,8960,17103,100,63,193,30,0,47873,3957,2599,817,296,1101,537,44.5,2163,2926,3879,2028,2898,4362,647,8052,14608,364,106
"IL",17,"Wayne County",1520,42,16569,8209,8360,15973,99,74,231,40,0,46405,3777,2332,692,316,1129,196,43.4,2205,2705,3629,2043,2695,3884,367,7347,13358,410,175
"IL",17,"Carroll County",1426,32,14704,7288,7416,13734,183,102,526,14,3,50555,3249,2260,740,324,1125,222,47.4,1697,2252,3694,1669,2162,3829,419,6765,12182,344,175
"IL",17,"Fayette County",2911,50,21980,11751,10229,20175,1122,106,377,63,0,44541,4256,2305,821,277,900,249,41.4,2762,4737,4570,2473,3503,4702,708,8807,16356,220,194
"IL",17,"Perry County",2670,52,21467,11832,9635,18517,1868,122,651,56,14,45864,4415,2569,981,258,1201,515,41.8,2656,5153,4285,2352,3121,4467,593,8236,15486,187,80
"IL",17,"Douglas County",1995,27,19830,9780,10050,17949,64,148,1427,56,35,52261,3553,2606,917,504,1376,387,37.9,2889,3445,3711,2824,3351,4228,518,9138,15566,496,312
"IL",17,"Bond County",1738,19,17034,8767,8267,14961,1032,196,590,34,16,54393,2681,2271,817,363,878,247,40.4,2085,3615,3330,2219,2545,3851,402,7483,12874,330,583
"IL",17,"Morgan County",3259,72,34442,17319,17123,30659,2105,236,803,77,3,49353,7022,4282,1783,807,2992,814,41.2,4629,6351,6898,4012,5806,7844,1023,15777,28133,593,541
"IL",17,"Ogle County",4603,64,51619,25702,25917,45065,550,252,5079,39,18,57655,8989,6829,3315,1697,3705,1040,41.9,6942,8990,10716,6645,8703,11422,1731,24713,44940,1257,314
"IL",17,"Grundy County",4387,50,50333,25154,25179,43855,658,376,4717,21,100,71598,6461,6448,3610,2487,3913,1056,37.5,7571,9680,8593,7028,9741,9019,1529,24608,45548,932,122
"IL",17,"McDonough County",2150,39,31597,15563,16034,27861,1502,689,851,66,2,42911,6321,3144,1431,585,2142,1003,31.3,4968,5866,5149,4821,5471,6157,1301,13837,23316,493,1113
"IL",17,"Vermilion County",7538,96,79207,39325,39882,62383,10995,691,3836,208,48,44930,16984,9772,3081,1518,6561,2079,40.2,11023,13917,15447,10715,12987,17343,2882,31973,58968,1024,865
"IL",17,"DeKalb County",7491,89,104473,51739,52734,81117,7414,2508,11287,44,37,58343,16147,12252,5950,3071,10969,4339,30.7,15947,21970,14939,16189,21105,16411,4959,52511,90804,2016,2130
"IL",17,"Logan County",3094,43,29488,14420,15068,25504,1967,237,1002,36,24,58271,4605,4200,1450,756,2363,427,40.6,3628,5611,5537,3270,5848,6435,744,12625,22792,547,341
